Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
2675,0,1748,16449,16697,11356,64,16699,842,747,749,16696,-83.96190748,-5.087669558,-2,-0.701726826
2676,0,1537,17140,16766,11033,56,17664,853,746,749,17139,-83.95911198,-5.216121175,-3,-0.697622165
2677,0,1720,16878,15244,12612,68,18308,890,747,750,16877,-84.4563487,-5.500056863,-3,-0.277159074
2678,0,2305,16055,17950,16546,84,18437,896,744,746,17949,-83.50292607,-4.518767696,-2,0.5140537480623464
2679,0,2298,17098,16860,14979,84,18151,861,745,748,17097,-83.43389161,-4.727933411,-3,-0.673813706
2680,0,1648,17085,16673,10228,60,17119,842,747,750,17084,-83.98643428,-5.220075631,-3,-0.697986436
2681,0,1852,17084,16948,12522,68,17270,851,748,751,17083,-83.70041354,-4.879844972,-3,-0.704923307
2682,0,1811,16578,16950,13426,64,17118,838,745,747,16949,-83.52855889,-4.803307999,-2,-0.677853911
2683,0,1918,16817,17725,16066,76,20556,933,746,748,17724,-83.84744619,-4.984298665,-2,0.1152722252933106
2684,0,2301,17806,16494,15406,84,19081,896,746,749,17805,-83.64399168,-4.808942069,-3,0.1137032807126127
2685,0,1985,16790,16718,11850,72,16366,829,746,749,16789,-83.67884482,-4.852278937,-3,-0.706592473
2686,0,2066,17065,16666,15090,76,18180,862,746,749,17064,-83.46731772,-4.758210456,-3,-0.592764976
2687,0,1975,15816,16453,11178,72,19565,900,749,753,17731,-84.75390509,-5.988952691,-4,-0.668370821
2688,0,2414,17007,18357,17556,88,21235,954,750,752,18356,-83.65549682,-4.740151239,-2,0.2238231227055998
2689,0,1848,16714,16932,14695,68,17711,848,745,747,16931,-83.40588592,-4.725498967,-2,-0.682337952
2690,0,1822,17389,16616,9167,64,17597,857,749,752,17388,-84.21774014,-5.417609301,-3,-0.684118301
2691,0,1965,16383,16984,15456,72,17636,846,751,753,16983,-83.30965781,-4.631350714,-2,-0.254172063
2692,0,1865,16128,16435,9223,68,19575,915,750,754,17799,-85.10765622,-6.201351309,-4,-0.702601329
2693,0,1858,16604,15261,9186,68,17780,858,749,753,16647,-84.70939266,-5.944063736,-4,-0.616378278
2694,0,2069,16367,18441,16456,76,21407,959,746,748,18440,-83.96772318,-5.042008392,-2,0.7025266918274603
